X02152_at,M14328_s_at,J03909_at,X56494_at,L17131_rna1_at,M57710_at,HG1980-HT2023_at,M63138_at,HG417-HT417_s_at,HG2279-HT2375_at,D82348_at,M22382_at,M20471_at,J04173_at,U28386_at,X62078_at,X12447_at,L33842_rna1_at,L02426_at,X17620_at,D79997_at,D55716_at,X16396_at,V00594_s_at,X17567_s_at,HG4074-HT4344_at,X67951_at,L19686_rna1_at,M25753_at,X15183_at,U29680_at,J02783_at,D43950_at,U14518_at,U12595_at,J04988_at,D45248_at,D13633_at,L25876_at,X74801_at,U40369_rna1_at,X01060_at,U53347_at,X69433_at,D25328_at,Z21966_at,X03689_s_at,U81375_at,X59834_at,M16591_s_at,M19645_at,U09587_at,L19437_at,X16983_at,U24577_at,M63835_at,X14850_at,M75715_s_at,X76534_at,J03077_s_at,M86699_at,Z50115_s_at,D38048_at,HG4716-HT5158_at,U59309_at,M13792_at,M22760_at,D31887_at,U78525_at,X52851_rna1_at,X59543_at,M15205_at,K03515_at,U23143_at,M12529_at,D38553_at,U24169_at,U86602_at,M94856_at,X70649_at,M95623_cds1_at,D31890_at,M29536_at,Z11793_at,X67155_at,U79254_at,D14657_at,J04611_at,J02645_at,D26599_at,AB002409_at,M31642_at,U22055_at,U62293_rna1_s_at,D38073_at,L06419_at,D84557_at,K03430_at,U51478_at,M60858_rna1_at,class
-0.4176,0.8032,-1.0743,0.5817,1.2713,0.0221,1.5378,-0.0105,-0.9904,-0.3795,1.8117,1.1898,0.535,0.2809,0.0507,0.2164,-0.8036,-0.3541,-0.2606,-0.4942,0.2597,-0.4045,-0.1369,-0.6243,-0.1926,0.1157,-0.1747,0.0481,-0.9062,-0.6024,-0.5088,0.6184,0.2635,-1.0324,-0.1243,0.7737,-0.1927,0.3155,-0.3401,-0.2627,-0.3441,-0.2553,0.0531,-0.5641,0.2379,-1.3369,-1.3763,0.3565,-0.8755,-0.1252,-0.6643,0.429,0.2211,-0.9229,-0.7728,-0.7362,0.5153,-0.6512,-0.6785,-0.8884,2.4991,0.3723,-0.3762,-0.606,-0.1709,0.013,-0.5291,-0.8115,0.135,1.0584,0.4881,-0.4785,-0.1551,-0.229,-0.6501,-0.2276,-1.0173,0.7074,-0.6725,0.1747,3.05,0.562,0.1939,-0.8635,0.6442,2.583,-0.5643,-0.2952,-0.1257,-0.251,-0.5221,-0.6888,0.6095,0.4339,0.4343,-0.5841,-0.1145,-0.8236,0.4326,0.9233,DLBCL
0.1194,0.6802,1.1046,1.31,0.4685,2.5626,0.8128,1.911,2.0383,0.837,2.7842,1.649,1.5221,0.7751,1.1703,1.7494,0.8382,1.6254,1.0235,0.4495,0.3687,0.2608,1.2561,1.6613,0.6305,0.4659,0.8455,0.2749,0.2561,1.1538,0.4568,2.5402,0.6524,0.8879,1.6362,0.7257,2.8781,-0.0983,-0.6272,0.8643,2.405,0.6479,0.4867,0.5466,1.2802,-0.0429,-1.713,0.1747,1.6687,0.3868,0.2949,0.8982,0.7889,-0.8316,2.5607,4.7539,0.4715,0.7663,0.236,1.6559,1.3603,0.9792,0.5149,0.3653,2.1144,0.3136,0.4546,-0.1433,0.7968,0.8445,0.3052,0.1954,1.6248,-0.5921,1.4708,0.3576,0.1222,0.9779,0.1003,1.2613,0.9159,0.475,0.3675,-1.0498,0.5357,0.5394,0.2762,0.9407,1.7766,-0.1195,-0.4518,0.9823,0.5395,1.7611,0.848,1.582,0.807,3.3836,0.9075,1.2768,DLBCL
1.7325,1.0095,2.1016,2.0677,1.4824,0.7241,2.1014,1.5173,1.7498,2.6604,0.4623,1.4464,1.0308,2.4032,1.9485,1.6711,1.8371,1.2848,3.0631,1.0839,2.0605,1.6936,1.3786,0.0668,1.8533,1.99,2.7449,1.9097,2.5067,1.8495,2.0162,1.012,1.8071,2.0603,2.2859,1.6078,1.6464,2.6067,3.5941,1.5676,1.8764,2.459,1.0418,1.8904,2.263,-0.1756,-0.1001,1.9972,2.2881,0.4128,1.1858,1.0031,2.2128,-0.211,1.8543,1.0439,4.4992,1.7201,2.1741,1.0319,3.1338,1.214,1.3598,1.068,0.5553,2.2989,2.1976,1.2009,0.7617,1.1772,1.2535,3.3497,1.4501,2.2753,1.7924,2.0551,2.5172,0.9536,2.8556,0.9233,-0.569,1.1169,1.1639,-1.1024,1.6313,0.705,2.2378,2.2869,0.6581,2.2881,-0.431,1.263,0.3753,1.3935,1.4885,0.9262,1.5917,1.115,1.458,2.0607,DLBCL
0.1362,1.6041,1.8117,-0.0513,-0.8719,-0.0753,0.0985,0.5968,1.3793,-0.647,-0.1287,-0.6719,-0.3912,-0.1955,-0.4932,0.419,1.411,-0.7767,0.127,-0.742,-0.7126,0.68,-0.495,1.2458,-0.7701,-0.2612,0.3977,-1.0739,-0.1887,0.0888,-0.5163,-0.4762,-0.5253,-0.1986,-0.8432,1.7321,0.6073,-0.6386,-0.2533,-0.5955,0.2384,-0.6073,0.0841,0.8685,-0.0572,-0.1424,-0.5745,0.0077,0.9626,0.6133,-0.3012,-0.6163,0.1935,-0.4939,-0.3703,1.6701,-0.1407,0.0444,-0.3658,3.1612,-0.3696,-0.1637,-0.7605,-0.5702,-0.0415,0.0063,-0.789,-0.2608,-0.6529,-0.3428,-0.6032,-0.1637,0.4034,-0.2393,-0.4866,0.7107,-0.1664,-0.3172,1.5164,-1.1735,0.1663,-0.0081,0.1368,-1.0719,0.0042,-0.7984,-0.6333,-0.792,1.1521,0.0918,-0.585,-0.0015,-0.2651,-0.6325,-0.3719,-0.1769,-0.1734,2.5182,0.1188,-0.3949,DLBCL
-1.1233,-1.0924,-0.4043,-1.1376,-1.2687,-0.6794,-1.0436,-0.4945,-0.6701,-1.1284,-0.6764,-1.2896,-0.7662,-1.204,-0.9524,-0.6495,-1.1544,-0.8482,-0.8128,-1.0497,-0.7722,-0.4943,-1.0946,-0.9528,-1.0619,-0.7597,-0.7314,-1.5758,-1.1551,-1.263,-0.8199,-0.8598,-1.1299,-0.7444,-1.298,-1.0284,-0.6941,0.3576,-0.6577,-1.2649,-0.6782,-0.7331,-0.788,-0.6866,-0.6818,-1.9873,0.2628,-0.2281,-0.739,-0.5617,-0.8462,-1.0071,-0.8471,-0.2749,-0.5432,-0.3975,-0.8711,-1.1762,-0.4383,-0.5542,-0.704,-1.0452,-1.0777,-0.7149,-1.5348,-0.2587,-0.8738,-0.1876,-0.814,-1.3538,-0.6686,-0.3111,-0.6585,-0.4745,-0.6433,-1.0884,-1.0352,-1.2066,-0.9299,-1.4715,-0.6299,-1.0809,-1.1465,-0.3974,-0.5273,-1.2536,-0.9292,-1.1268,-0.5372,-0.6742,0.5273,-0.9871,-1.325,-0.7285,-0.8245,1.1207,-0.4837,-0.0904,-1.139,-1.4552,DLBCL
0.9492,0.5553,0.0512,0.6733,0.3777,0.9427,1.2901,0.1814,-0.0965,1.1798,0.0928,0.9062,-0.0096,0.7604,0.0365,-0.185,0.7041,0.623,0.2129,1.3117,1.2588,1.8732,0.6093,-0.4306,0.7796,1.2482,0.7497,1.5929,1.7336,0.6349,0.3576,-0.3115,0.5567,1.1658,0.4918,0.5072,-0.2236,1.5799,1.4829,1.1714,-0.1325,0.4283,-0.1828,0.8082,0.0865,0.6141,0.3742,0.7666,-0.0539,1.4604,0.2086,0.4783,0.1592,0.501,-0.0948,-0.6026,-0.0773,0.5563,0.3839,0.2206,0.4154,0.9858,0.8018,1.074,0.9661,-0.4383,0.8208,-0.2165,0.4201,1.1381,1.1809,0.969,0.0646,5.5243,0.292,2.5194,0.6195,0.5583,0.6418,0.9887,-0.2498,0.6002,0.3371,0.4391,1.0944,-0.2769,4.0263,0.6723,0.7754,0.3146,-0.4844,2.2779,1.2699,0.5352,0.5726,0.1881,0.1243,-0.7054,0.1944,0.8718,DLBCL
-0.0812,0.0301,-0.5245,-0.0733,0.7598,-0.6921,-0.0013,-0.0424,-0.8609,0.6556,-0.201,-0.5325,-0.1587,-0.3262,-0.494,-0.5681,0.3505,-0.1954,-0.3257,-0.4255,-0.5934,-0.0189,-0.5164,-0.9031,-0.1337,-0.556,-0.6945,-0.3977,-0.1622,-0.7154,-0.5702,-0.693,-0.2829,-0.4867,0.3535,0.0746,-0.5345,-0.4163,-0.0468,-0.184,-0.8841,-0.7184,-0.1876,-0.1761,0.4487,-2.4054,0.5296,-0.3878,-0.9385,-1.0501,-0.6053,-0.3652,-0.5776,-0.1106,-0.7391,-0.5568,-0.3935,-0.4456,-0.6183,-0.7834,-0.7185,0.6713,-0.1261,-0.145,-0.3388,-0.179,-0.5075,-0.6729,-0.2508,0.3654,-0.6577,0.6631,0.1826,0.7653,-0.5868,0.1593,0.0808,-0.0398,0.3101,0.1856,-0.6945,-0.3975,-1.0032,-0.8677,-0.2778,-0.6727,-0.3796,-0.0687,0.2205,-0.0105,-0.1988,-0.504,-0.2953,-0.3257,-0.4352,-0.7726,-0.3974,-0.6019,-0.5733,0.1621,DLBCL
1.1355,-0.1354,0.0114,1.0176,-0.1539,0.7422,-0.3038,-0.6039,-0.1577,0.6716,0.3285,1.3483,-0.315,0.9715,-0.0878,-0.2395,0.1033,0.3226,1.4103,0.3197,0.2865,0.0205,1.4857,-0.5655,0.3978,-0.1497,-0.029,0.9851,1.4,1.1976,1.7086,-0.4102,0.0842,0.7868,1.0724,-0.1223,0.3756,1.2963,0.5934,1.0966,-0.3048,0.5713,0.3843,1.3355,0.0157,0.6938,0.6433,-0.4148,-0.0447,-0.2054,-0.1157,-0.1442,0.3724,-0.6217,0.0552,-0.3354,0.0942,1.0332,-0.0664,-0.0935,1.1374,0.8751,-0.1801,0.5995,0.8504,0.2286,0.5448,-0.5323,-0.5405,1.14,0.2737,-0.2413,-0.5883,0.8828,-0.088,1.4071,-0.1899,-0.4334,2.5466,0.7452,1.314,0.4315,1.5597,-0.6057,0.5303,-0.377,1.5696,0.522,2.1561,-0.469,-0.482,1.7612,-0.2205,-0.3243,0.2982,-0.3293,-0.2775,-0.4802,0.0092,1.1851,DLBCL
1.2505,1.3074,-0.1266,0.7871,1.3739,-0.0794,1.7174,0.6749,-0.5733,2.1828,-0.4248,-0.5721,1.1973,0.7307,1.255,-0.3086,1.912,-0.9973,0.0502,0.0476,0.9874,0.7654,-0.1,-0.444,0.2547,0.0291,0.4499,1.3857,0.5659,-0.0367,-0.0412,-0.0636,0.3774,-0.239,-0.8432,0.5037,-0.4407,-0.3819,1.6576,-0.3459,-0.9486,0.3543,-0.147,0.4469,0.4448,-1.0715,0.617,0.7077,-0.8026,0.1013,0.6479,-0.3206,0.4663,0.5832,-0.6648,-0.604,1.0289,-1.0231,-0.5813,-0.0155,-0.1661,0.2948,2.1561,-0.3598,-0.2163,5.7276,-0.0558,-0.0162,-0.1469,-0.0465,-0.3428,2.268,1.8748,0.3836,-0.6232,1.7311,-0.0007,0.0226,-0.9657,-0.374,-1.2756,-0.1234,-0.1619,-0.9772,1.051,0.1375,-0.0968,0.3795,-0.3851,1.5057,-0.607,0.4539,1.1478,0.392,-0.1587,0.7758,0.0654,-0.736,-0.2414,0.3096,DLBCL
0.3537,-0.5114,-0.5827,-0.7212,-0.0868,0.2255,-0.6286,-0.3658,-0.8858,-0.4866,0.4498,0.2779,-0.6647,-0.958,-0.8035,-0.3594,0.3368,-0.0426,0.1162,-0.0963,-0.7085,-0.5155,0.007,-0.0173,-0.4739,-0.1073,-0.4758,-0.2794,-0.0881,-0.3253,0.5929,-0.3104,-0.4938,-0.2037,-0.2019,0.1655,-0.6257,-0.2669,-0.0432,0.6518,-0.5875,-0.2645,-0.2757,-0.2531,-0.9998,1.0521,0.1616,-0.8176,-0.4647,0.014,0.5861,-0.1546,-0.1479,-0.9412,-0.3798,-0.5541,-0.3027,-0.2225,-0.1512,-0.6028,-0.67,0.1641,-0.463,0.0281,-0.5748,1.5331,-0.253,0.3073,-0.4931,-0.9531,0.1586,-0.5028,-0.3916,-0.0475,-0.5468,-0.6628,-0.1761,-0.7194,0.8889,-0.4067,0.2595,-0.4377,0.0045,-0.9666,-0.3863,-0.2167,-0.3025,-0.3759,-0.4401,-0.902,-0.0935,0.3102,-0.0036,-0.3541,-0.5048,-0.7465,-0.0166,-0.7045,-0.6742,0.2516,DLBCL
-1.1031,-0.85,-0.7873,-0.9676,-0.3353,-0.9294,-0.8554,-0.0111,-0.7348,-1.1025,-0.5688,-0.9706,-0.8293,-1.0064,-0.8376,-0.8882,-1.104,-0.059,-1.0604,-0.7147,-0.7434,-0.5849,-1.1118,-0.9235,-0.8805,-0.6399,-1.085,-1.3592,-0.7527,-0.944,-0.7287,-1.0389,-1.0559,-0.6282,-1.363,-1.5199,-0.9766,-1.0562,-0.6687,-1.0608,-1.1618,-0.6393,-0.7665,0.2563,-1.2565,0.561,-1.4997,-0.0071,-0.9575,-1.1657,-0.8879,-0.5406,-1.1023,-1.3337,-0.608,-0.3692,-0.6198,-1.0275,-0.6117,-0.7717,-0.67,-1.4771,-1.4001,-0.6671,-0.8245,-0.4959,-0.9532,0.3574,-0.5392,-0.0511,-0.7509,-0.6325,-0.9849,-0.5096,-0.1014,-0.7741,-0.7507,-0.5738,-0.9134,-1.1008,-0.3932,-1.0552,-1.1902,-0.9246,-0.1043,-1.1827,-0.7635,-1.1937,-0.9878,-0.7601,-0.6651,-0.9694,-0.6502,-0.4581,-0.7602,-0.1508,-0.4311,-0.5023,-1.0402,-1.0177,DLBCL
2.2469,0.8663,2.3059,1.7199,0.5218,2.6456,0.6267,0.6626,1.8809,1.864,0.4561,0.9518,0.8318,3.1253,0.7942,2.1545,0.4709,0.4665,1.178,1.1142,1.4746,0.0424,1.4351,1.5965,2.086,1.0363,2.7213,1.029,1.1087,0.9511,0.5087,1.0875,2.0058,0.6908,0.5652,0.9879,1.3148,1.2772,2.0437,0.031,1.9663,2.2942,1.4874,1.1973,3.1616,-0.0031,0.4331,1.3807,1.3137,3.3881,1.4043,1.4235,1.6284,0.9757,2.7687,0.581,0.0331,1.5582,2.2569,1.008,0.1101,1.2915,0.5859,1.347,1.2294,-0.5766,0.8754,3.4598,1.1501,1.7042,0.5753,2.1483,2.8356,1.0809,1.8371,2.089,1.0421,-0.2513,0.0142,1.7155,-0.6299,1.1927,1.8572,0.2244,2.1086,1.3797,1.6743,0.7465,0.4799,2.3393,-0.4227,0.5942,1.1483,3.6357,0.695,1.3193,0.7323,-0.1257,2.4501,1.4132,DLBCL
0.8278,-0.8377,-0.5086,-1.0609,-0.7427,-0.8478,0.2045,-0.8628,-0.4993,-0.0338,-0.5341,0.6317,0.0871,0.018,0.3833,-0.3374,-0.9892,0.9077,0.6376,2.2354,0.1446,-0.3359,0.8474,-0.9619,0.297,0.8133,-0.0745,0.5284,1.2279,0.3597,-0.4321,-0.5599,0.3556,1.2972,-0.2543,-0.7419,1.0065,0.6603,2.2501,1.0978,0.1853,-0.2447,-0.7022,-0.3035,-0.4767,0.2159,0.4968,-1.1394,-0.2527,-0.8401,1.8156,-0.2242,-0.0253,-0.1653,0.2578,-0.4704,-0.8914,0.6132,-0.2142,-0.5828,1.4863,-0.5247,1.9626,1.0322,0.1741,-0.3572,-0.1951,0.161,-0.547,1.1365,0.7594,-0.034,-1.2568,0.922,-0.8256,0.4447,-0.2659,-0.416,0.1133,0.8216,-0.2282,-0.8285,1.8681,0.3602,0.4544,0.8113,0.7539,0.014,2.0098,-0.3101,-0.5441,1.0218,-0.5314,-0.3189,-0.4257,-0.0566,-0.1681,-0.6456,0.4464,-0.4879,DLBCL
