34255_at,856_at,33812_at,36499_at,1220_g_at,40077_at,40096_at,37318_at,38635_at,33818_at,38027_at,966_at,37796_at,40991_at,33357_at,38647_at,39458_s_at,37557_at,35560_at,843_at,1614_s_at,31957_r_at,33322_i_at,37632_s_at,41775_at,36988_at,1555_f_at,967_g_at,41633_at,33182_at,404_at,31813_at,35227_at,1138_at,38010_at,41413_at,31788_at,40765_at,36080_at,35492_at,40514_at,41060_at,38721_at,35370_at,40807_at,38622_at,41589_at,37139_at,812_at,39923_at,33147_at,39274_at,AFFX-HSAC07/X00351_M_st,868_at,33149_at,320_at,40698_at,36530_g_at,1668_s_at,31791_at,40618_at,38012_at,32564_at,34233_i_at,39161_at,38702_at,39722_at,32536_at,32706_at,39361_f_at,36696_at,40939_at,628_at,33134_at,452_at,31860_at,37250_at,32402_s_at,1895_at,39076_s_at,36788_at,34859_at,1166_at,1478_at,953_g_at,38118_at,38918_at,39670_at,39674_r_at,993_at,31915_at,283_at,39644_at,37040_at,1119_at,37331_g_at,970_r_at,38772_at,844_at,37873_g_at,class
-0.7416,1.9481,-1.0454,1.8948,0.1206,1.7457,0.3581,-0.4048,-0.7161,0.2614,1.3479,-0.7262,1.2416,2.1742,0.7608,0.3777,-0.3093,1.8645,-0.3744,-0.3666,0.5047,-1.0089,0.5416,-0.8944,-1.463,-0.096,-0.0765,-0.136,0.7599,0.2595,-0.2777,0.6469,-0.0727,0.3672,2.4676,-0.555,0.3961,1.7708,1.1045,1.0518,0.4987,-1.072,0.948,0.03,0.4881,0.2759,0.3154,2.4642,-0.3629,2.5734,-0.2019,0.5396,-0.6055,0.1885,0.9386,1.0972,-0.7416,-1.3212,-0.2305,-0.0987,-0.5822,-0.1246,0.2378,-0.7252,0.3005,0.2523,0.6657,-0.3579,0.8202,0.6762,0.4903,-0.4844,-0.2592,-0.114,0.0375,0.6032,-0.3567,-0.1657,-0.0114,-0.3746,0.7499,0.3661,0.1477,0.0422,-0.2796,0.8304,-0.616,0.2465,-0.4591,0.0413,-1.1472,0.9989,0.2009,0.636,0.9387,0.4589,0.0634,-0.5442,0.1663,0.9124,ALL
-1.2423,1.1702,-1.0641,-0.6898,-0.8455,1.3886,-1.0258,-0.0887,-0.0777,-1.1193,-0.4136,-0.4284,-0.6216,-0.3081,0.3032,-1.185,1.5413,-1.1043,0.4516,1.6635,-0.7357,0.9184,0.5232,-0.2043,0.4117,0.0372,-1.595,-1.5307,-0.6076,0.0159,0.1869,0.4823,-0.9794,-0.4705,0.1069,-1.0118,0.2616,-0.1892,-0.8291,-0.9102,-1.1947,-0.2416,0.0433,0.5403,-1.721,-1.0698,-1.7417,-0.0247,0.8679,-0.5628,0.3034,-0.995,-1.7854,-0.4811,-0.8434,-0.2043,-0.0107,-0.6741,-1.1282,-0.6566,-0.8338,-0.2682,-0.4427,-0.6355,-0.709,-0.8433,-0.7458,0.6932,-0.8618,-0.5804,-1.6167,1.2839,-1.0366,-0.2163,-0.3505,-0.2178,-0.4451,-1.299,0.0064,-1.2107,-0.1208,-0.5482,-1.2935,0.3698,-0.7504,0.3553,-0.6789,-1.2646,0.6089,-1.2276,0.7509,-0.5805,-0.2123,-0.5488,-0.2373,-1.0907,0.4392,-0.1617,0.2679,-1.5489,ALL
-0.1343,-0.3492,0.9948,-0.6122,0.4381,0.4875,0.4924,-0.2782,-0.5495,0.7822,0.7027,-0.7044,0.3429,-0.8227,-0.142,-0.063,-1.4602,-0.4614,0.4664,-0.4804,-0.3747,1.0224,0.1256,-0.8474,0.212,2.0499,-2.3729,0.0256,-0.2168,0.7345,0.7567,0.3588,-0.5476,-0.9024,-0.8756,0.4216,-0.6611,0.4404,0.2457,-0.8895,-0.7345,-1.0339,0.5743,0.6572,0.296,-0.299,-0.3673,-0.4112,-0.0922,-0.2899,-1.1073,0.3673,-0.0744,-0.5959,-0.6075,-0.4839,0.0136,1.2615,1.5263,1.0171,0.6948,0.2631,-0.1595,-0.7192,0.1439,-1.1898,0.1506,0.2737,-0.7296,-0.1311,-0.2455,2.1225,-0.4259,-0.9107,0.2695,1.3363,-0.3617,-0.7815,0.3602,1.5668,0.1452,0.2864,-0.2476,2.3937,0.2144,-0.2423,1.5791,-2.4265,-1.1164,0.146,-3.2647,-0.537,-0.0808,-0.5081,-0.002,0.1207,-0.043,-0.3759,-1.103,0.58,ALL
0.2426,0.2343,-0.1783,1.9802,0.631,1.185,-0.3901,-0.2634,-0.5326,-0.8433,-1.6758,1.9343,-0.8308,0.8068,1.3916,0.796,1.2006,1.3429,-0.2711,0.62,-0.8755,-0.3016,2.159,1.1194,0.4754,-0.096,1.0803,2.798,0.2453,0.8807,-0.4863,0.3618,1.25,0.3323,2.1961,2.2045,1.3967,0.3745,2.4971,1.8424,-0.4148,-1.1038,0.4108,0.1301,1.0935,0.2243,0.342,1.127,0.3682,1.0555,-0.9422,0.0676,2.4638,0.3219,0.9354,0.5413,-1.0483,-1.1107,-0.9828,1.5071,-0.696,-0.627,-0.3159,-0.7372,-0.2129,0.712,1.3724,0.4905,1.7089,0.4265,0.0776,-1.0407,0.3146,-0.3117,1.2202,-0.4386,1.3034,0.7108,0.5928,-0.6894,-0.7013,-0.3797,1.0697,-0.3205,-0.3419,1.6813,-0.0296,-0.7457,0.3111,0.5087,-0.1817,1.1872,-0.9449,2.2798,0.1556,1.7801,0.9016,0.8786,0.8238,0.1179,ALL
-0.5248,0.6475,1.4349,2.7137,0.6476,-1.4349,0.8587,-0.5143,-0.5033,-0.6118,0.7869,0.0896,-1.6156,-1.6517,-2.6278,1.885,-1.1932,0.1671,-3.693,-1.0311,-2.8847,0.5293,-0.0973,-1.1478,1.4343,-0.5659,0.2277,0.0407,0.4216,-3.2483,-0.9509,-1.4313,0.5729,1.0988,-0.4076,0.5435,0.646,0.5601,-0.5356,-0.3059,-0.2253,-0.9385,0.5461,-1.7658,0.3541,-1.2033,-1.1447,-0.7976,-0.5426,-1.0896,-2.7932,0.8825,0.4219,0.9682,-0.1325,0.2717,-0.9805,0.477,-0.2305,0.2782,0.2915,-0.83,-0.3173,-0.3183,-0.8831,0.5651,1.592,-0.4371,-0.1861,-1.4792,-0.0424,-0.4346,-0.215,-0.9375,1.4406,-0.7409,0.6527,-2.3795,-0.2965,0.645,-1.0157,0.1245,0.7184,-0.5778,0.1303,-0.21,-1.7597,-0.7255,-1.3731,-0.3383,-2.0469,1.2156,-3.0862,0.3064,0.3233,-0.42,0.6291,-2.5483,0.0115,0.4221,ALL
-0.7099,-0.7341,0.9188,-0.2513,-1.0134,-0.3936,-1.4198,0.6517,-1.1697,-1.6676,-0.5791,-0.8545,-1.0114,-0.675,-0.7851,-0.5642,0.1418,-1.2724,0.2746,0.0191,-0.1475,0.0797,-1.0305,-0.7864,1.3396,1.2996,-0.82,-0.7976,-1.6759,-0.727,-1.0372,-1.4548,1.1036,2.2043,-1.2092,-0.2295,0.6951,-1.36,0.5016,-1.0551,-0.8759,-1.2732,-0.0808,1.2344,0.3072,-0.9298,0.6228,-1.1223,0.3509,-0.2272,-0.532,-1.0596,-0.6752,0.5154,1.9083,-1.296,-0.0456,-1.0406,-1.3389,-0.683,-1.5268,-0.7016,0.5069,-0.2345,-0.944,0.7328,2.1101,-0.2571,0.8202,-0.6553,-0.8612,-0.2603,-0.8894,0.9886,-1.2158,1.645,0.0588,-1.2537,-0.4333,-1.3188,-0.8706,-1.0236,-0.5873,-0.2006,-1.0657,1.5343,-1.5125,-0.0345,-0.1356,-1.2636,0.6028,-0.0495,-0.5504,0.0247,0.0948,-0.9433,1.5294,-0.4371,-0.9278,-1.2188,ALL
0.6127,1.9318,1.2325,-0.1465,0.2203,-1.1646,1.5264,3.2328,0.3221,-1.0044,0.4026,-0.6923,-1.1333,-1.4373,-0.6861,2.1346,-3.32,-0.3497,0.3041,1.9411,-1.19,-1.2415,1.1264,1.8282,0.5081,-0.4642,2.5958,-0.527,2.7246,-1.5675,3.441,-0.6788,0.9151,-0.1114,0.7197,-0.279,1.417,1.3597,-0.7236,0.2115,2.6297,1.0907,-0.7372,1.3965,-1.3189,0.6484,1.1696,0.5473,3.6372,-1.3217,-0.9522,0.5738,-0.5054,2.1041,1.7314,-0.1044,1.1112,2.0002,0.2265,-0.4229,2.7417,-0.4255,2.3952,-0.5517,-1.4749,0.6288,1.9728,1.9782,1.8999,-0.6886,-0.3547,0.1548,-0.4823,1.9194,3.4522,2.271,-0.1731,0.1592,-0.7995,1.6211,-1.2818,-0.061,2.7363,-0.6451,2.1629,-0.0289,0.4438,1.0033,-0.5618,-0.516,0.7016,2.3491,-0.3814,0.1228,-1.2436,1.6066,0.5466,-0.1923,1.0346,0.8771,ALL
-1.1435,-1.3256,-0.942,-0.8916,-1.5588,-0.4303,-1.1992,0.4565,-0.868,-1.0863,-1.2916,-0.9174,-0.2328,-0.1699,0.9092,-0.2346,1.2282,0.1547,0.6876,-1.0277,0.3184,-0.082,-0.9784,0.7532,-0.1392,-0.8149,-0.0162,0.4053,-0.9317,0.3204,0.002,0.6146,1.0394,0.4911,-0.9739,-0.9421,-0.3792,-1.5335,-0.8303,-1.0137,-1.0078,1.4169,-1.1712,0.9362,-1.0018,-1.3196,0.877,-0.9136,0.4543,-1.0112,0.1333,-1.5048,-0.4532,0.8623,-0.7189,-1.2228,0.1376,-0.7184,-1.0985,-0.3777,-1.346,-0.764,-0.3321,-0.4679,-0.0041,-1.0429,1.4112,1.0637,-0.142,0.2185,-1.3372,0.7775,-0.8551,0.5416,-1.1631,-0.8738,-0.4417,-0.4981,3.0095,-0.8335,1.5238,-0.1067,1.0242,-0.3234,-0.8382,0.4152,-0.4778,-0.7913,0.3214,-1.2943,1.2501,0.6358,0.5203,0.0905,0.0332,0.0484,-1.3157,-0.4983,-0.5318,-0.9288,ALL
-0.7314,0.0641,0.1981,0.3425,0.217,1.7391,0.237,-0.4672,0.3852,-0.3305,0.2876,0.4527,1.1313,0.1922,0.6495,-0.2845,0.906,1.3582,-0.9791,-0.0768,0.4348,-0.4995,-1.0006,-0.0635,0.5116,1.026,-0.0105,-0.3841,-0.1365,-0.1059,0.569,0.547,0.7172,1.1529,-0.1775,0.4899,0.3897,0.2184,1.2913,1.0601,-0.4235,0.7116,1.0513,0.1468,0.2111,-0.5918,0.2386,1.0188,-0.1438,0.607,0.0783,-0.2968,-0.2181,-0.4519,-0.1031,-0.4539,-0.1247,-0.1544,-0.3329,-0.487,-0.5812,-0.4682,-0.5277,-1.0245,-1.4662,0.1684,-0.0272,0.9185,0.7027,-0.8218,1.0493,0.296,-0.0581,0.4383,-0.4328,2.5904,-0.7571,0.197,-0.8888,0.2405,0.0968,-0.2674,0.2235,-0.1889,-0.2203,0.9367,-0.2306,-0.1433,0.6038,-0.2484,-0.1488,0.334,0.9711,0.723,1.2654,0.2189,1.7024,-0.5901,0.537,0.0095,ALL
0.086,1.0972,0.9948,0.8237,0.7856,0.1337,0.5121,-0.4105,-0.4415,1.8033,1.7826,1.6414,0.4826,-0.0365,0.3774,0.6953,-0.162,-0.257,0.0091,0.3647,0.0854,-0.1347,-0.7053,-0.6221,0.1432,-0.4782,0.4,1.5631,0.7037,0.6493,-0.437,0.8145,0.1959,-0.6694,0.2931,2.0652,1.354,-0.1701,0.1692,-0.2852,1.0393,-0.4747,1.8994,-1.4582,0.7696,1.275,0.3391,0.841,-0.6977,3.0814,-0.3719,0.8125,0.5438,-0.2956,-1.4461,2.7581,-0.7776,-0.1773,0.3645,-0.4568,0.0408,-0.3925,-0.5574,0.6154,0.7792,0.3414,0.2229,-0.5389,0.8349,2.2241,0.8178,-1.929,1.4795,-0.5303,0.5179,-0.6037,1.5803,1.8064,-0.2656,0.454,0.3387,-0.4724,-0.101,-0.0221,0.9472,-0.4002,0.2762,1.5374,0.6808,1.7068,-0.5931,-0.333,-0.2311,0.2852,0.1543,2.1155,0.2941,1.1845,-1.7579,0.5305,ALL
0.5287,-0.4383,-0.9783,-0.814,-0.2436,0.0403,0.4744,1.0755,-0.7427,-0.011,-0.8372,-0.6802,0.6205,0.0969,-0.9829,-1.1899,-0.2633,-0.5799,1.0563,-0.3979,-0.9046,-1.2149,-0.3656,0.19,-1.4354,0.3142,0.1617,-0.854,-0.9392,1.7333,-0.7888,1.0173,-0.8551,0.106,0.7481,-0.7894,-1.4503,-0.4945,-0.8425,-0.0907,0.3834,-0.3772,-0.7913,0.2542,-0.7091,-0.2279,-2.8413,-0.9754,0.5848,1.2531,0.3734,-0.5427,-0.8058,-0.8339,-1.3544,-0.1643,1.9897,0.0561,-0.5317,-0.487,0.6459,3.1546,0.3504,0.9147,-0.2129,-1.2991,-0.7219,-0.4399,0.3207,0.4265,-0.7149,-0.9577,-1.0905,-0.4349,-0.4142,-0.0871,-1.1475,0.1404,1.7735,0.4377,0.3629,-1.1464,-0.8729,-0.3146,-0.9907,-0.9307,-0.2642,-1.0343,-0.3307,-0.4874,1.2117,-1.0964,-1.0764,-0.5476,-0.7452,0.5138,-0.7929,-0.1923,-0.6739,-1.174,ALL
-0.2966,-0.4221,2.3274,0.2843,1.7882,-0.5104,-0.4464,-0.0296,-0.4758,-0.0991,-1.3673,0.5689,0.3322,-0.3748,-0.6861,-0.0547,-0.4566,0.509,1.5431,-0.3488,1.454,0.4224,-1.4648,-0.1996,-0.5282,-0.1977,-0.5702,-0.121,-0.8267,0.0038,0.4505,-1.9633,0.6382,-0.8823,-0.8187,0.088,-0.2243,0.9365,1.7329,1.0683,-0.6794,0.3176,0.3457,-0.3468,0.1352,1.2858,0.2268,0.586,-0.0331,0.4032,1.1738,0.7712,1.5321,-0.374,0.765,-1.1529,-0.5619,-0.6554,-0.4798,-0.242,1.1531,-0.6184,-0.585,0.5615,0.9707,0.1223,0.051,-1.0386,0.7761,0.1519,-0.9508,0.5284,-0.139,-0.9117,0.6576,-0.1535,-0.1681,1.0962,1.7892,0.2555,0.774,-1.0745,0.7123,3.2711,-0.1835,0.3295,0.0165,-0.2597,-0.7313,0.7562,0.3121,-0.1707,0.3888,-0.2643,-0.4618,1.4447,-0.0358,2.2707,1.4509,0.217,ALL
1.2213,-1.0987,-0.3434,-0.0883,1.1431,-0.1934,-0.471,-0.8857,-0.5379,0.7395,-0.063,1.0168,-0.4375,-0.3796,0.3836,0.7479,-0.7236,0.3591,1.3071,-1.1526,0.2194,1.2532,0.7683,-1.1478,-0.2683,-0.4256,2.0045,0.9917,0.0533,0.1377,-0.7547,-0.7464,-1.0468,-0.6115,-0.4283,-0.5255,-1.0605,-0.295,-0.0964,0.4723,-0.6253,-0.7479,-0.4349,-0.5281,0.7852,0.0003,0.2179,-0.1252,-0.7765,-0.177,-0.0568,0.8232,0.0214,-0.3092,-0.5158,0.2551,-0.9913,0.5357,0.9506,2.525,-0.3705,-0.6737,-0.9209,-0.402,-0.1433,-0.1554,-0.9243,-1.1847,-0.9132,0.2101,0.7327,-0.7418,0.9473,-1.323,0.3456,-0.385,-0.8622,0.7599,-0.3717,0.5485,-0.8948,-0.0074,-0.2724,-0.3497,2.111,-0.591,-0.2474,0.811,1.0043,0.458,0.8168,-0.2805,1.8163,-0.4694,0.4153,-0.4055,-1.1206,0.3584,-0.5013,0.903,ALL
