X95735_at,M84526_at,M23197_at,M27891_at,M31523_at,M92287_at,U05259_rna1_at,X59417_at,M11722_at,X17042_at,D88270_at,L09209_s_at,M16038_at,M84371_rna1_s_at,M63138_at,U46499_at,M89957_at,M22960_at,J05243_at,M31211_s_at,M55150_at,M62762_at,X16546_at,M19507_at,U50136_rna1_at,U29175_at,M96326_rna1_at,S50223_at,X61587_at,X82240_rna1_at,Y08612_at,M28170_at,Z49194_at,M11147_at,U22376_cds2_s_at,HG1612-HT1612_at,M32304_s_at,X97267_rna1_s_at,Z15115_at,D88422_at,X52056_at,J03473_at,D49950_at,X14008_rna1_f_at,X66401_cds1_at,X62654_rna1_at,M33680_at,M31303_rna1_at,M29696_at,L47738_at,M83652_s_at,Y07604_at,M81695_s_at,J03801_f_at,Y00787_s_at,M19045_f_at,X64072_s_at,D26156_s_at,U07139_at,X15414_at,L09717_at,L06797_s_at,S76617_at,M65214_s_at,X51521_at,X62320_at,U82759_at,M91432_at,X69111_at,L42379_at,U10485_at,U77948_at,M93056_at,AF009426_at,M12959_s_at,D14664_at,D10495_at,L41559_at,U46751_at,D86967_at,X78669_at,M27504_s_at,L21954_at,L11669_at,HG3494-HT3688_at,U10868_at,X70297_at,L07633_at,M28130_rna1_s_at,U94855_at,L13278_at,D63880_at,X07743_at,X74262_at,X12447_at,X67951_at,U62136_at,S46622_at,U73737_at,L33930_s_at,class
-0.8045,-0.522,-0.6057,-0.6033,-0.4764,1.1853,-0.8989,1.4432,-0.5896,-0.6507,-0.7484,-0.7427,-0.9346,-0.8658,-0.5754,-0.5747,-0.8802,-0.8176,1.9126,1.8559,-0.5982,0.0059,-0.534,-0.5221,-0.8134,1.6152,-0.4318,1.0528,-0.6633,-0.6617,1.0369,-0.7507,-0.3982,-0.7631,0.0787,0.7401,-0.4367,-0.6785,-0.247,-0.4773,-0.8511,-1.0998,-0.9413,-0.6421,-1.2458,-0.6685,-0.2683,0.3563,0.1019,1.9354,-0.7522,0.1768,-0.4698,-0.6486,-0.3484,-0.6493,-0.6559,1.3445,0.8337,-0.186,-0.3311,-0.1989,-0.8515,-0.1125,2.2605,-0.555,-0.1213,-0.2027,-0.7057,-1.1255,-0.3437,0.2194,-0.0947,-0.031,1.0053,-0.7886,-0.7649,-0.5886,-0.8934,0.6877,1.1746,-0.219,-0.7405,-0.8222,-0.5638,-1.0043,-0.3378,0.0559,-0.4198,1.0865,-0.4777,0.4737,-0.5733,0.0729,-0.4674,-0.1963,-0.7143,0.0376,0.002,-0.6347,ALL
-0.5579,-0.4673,-0.2844,-0.5238,-0.6438,-0.4164,-0.1178,-0.9643,-0.0635,0.6004,-0.5049,-0.7868,-0.4747,-0.2127,-0.4682,-0.6491,-0.0892,-0.5142,-0.7912,-0.2034,-1.0466,-0.7615,-0.6818,-0.2922,-0.6734,-1.0979,-0.3381,-0.4244,0.0435,-0.5698,-1.1253,-0.2222,-0.4513,0.6949,-1.0304,-0.7832,0.0267,-0.6963,-0.8177,-0.3526,-0.5314,-0.852,-1.2449,0.2093,-0.4966,-0.4619,-0.2974,-0.3475,-0.6857,-0.8334,-0.2479,-1.2653,-0.4137,-0.1841,0.0866,0.15,-0.8386,-1.148,-0.4844,-0.9343,-0.3499,0.3051,-0.3645,-1.0242,0.0407,-0.5566,-0.9493,-0.9519,0.2498,-0.4104,-0.7088,-1.2187,-0.2305,-1.3101,0.235,-0.238,0.2081,0.1262,-0.5503,-0.6068,-0.5612,-0.4092,-0.6496,-0.1643,-0.2152,-0.7743,-0.5058,-0.8935,0.0155,-0.2096,-1.0723,-0.7843,-0.0235,-0.8488,-0.3134,-0.5231,-0.7826,-0.6485,-0.7282,-0.6128,ALL
-0.3779,-0.5084,-0.5795,-0.5574,1.1061,2.9664,0.7343,1.9514,2.2846,-0.3098,1.9546,-0.319,-0.6234,0.1608,-0.8268,-0.6144,1.2819,-0.7831,0.2575,1.0183,-0.819,-0.3486,-0.7261,-0.5211,-0.7208,0.6092,-0.5284,1.4904,-0.6059,0.7048,0.463,-0.2064,0.722,-0.7385,0.9907,2.0274,0.0031,0.79,1.4409,-0.474,0.0747,0.4812,-0.3048,-0.8405,1.833,-0.3917,0.8429,1.2835,-0.0091,-0.2595,-0.4848,-0.9063,-0.7177,-0.8875,-0.5585,-0.8536,-0.4648,0.841,-0.0189,1.271,0.0359,2.3407,1.2801,0.3975,1.0916,-0.3121,-0.7445,0.6449,0.2704,-0.3351,0.265,0.2377,-0.5264,1.1286,-0.3654,-0.6124,-0.6678,-0.5645,-0.4862,2.6385,0.162,0.309,-0.4934,-0.2683,-0.4276,1.1736,-0.5829,1.4673,-0.4684,2.1458,0.8958,0.4701,-0.2664,0.9042,-0.2737,0.8516,1.5862,2.8499,1.6219,1.6454,ALL
-0.5852,-0.5186,-0.5948,-0.4063,-0.3956,-0.473,-0.8963,-0.5796,-0.7561,-0.2724,-0.7531,-0.534,-0.2354,-0.9629,-0.2575,0.5324,-0.8209,0.3142,0.5245,-0.4558,0.2,-0.8876,-0.4952,-0.5098,-0.5379,-0.3039,-0.4148,1.5957,0.1076,-0.6333,0.5963,0.153,-0.5575,0.3478,-0.5568,-0.4425,-0.7107,2.3429,0.145,-0.3424,-0.6602,-0.2241,-0.6083,0.0932,0.8269,-0.3199,-0.6179,-0.3104,1.3645,1.0194,-0.0178,-1.4972,0.4966,0.0048,-0.5625,0.0676,0.3563,-0.0748,-0.8401,0.1383,-0.9426,-0.903,0.3048,-0.8053,-0.5594,-0.3501,-0.4571,0.0508,-0.2131,-0.7477,-0.626,0.541,-0.8399,0.7221,2.1156,-0.3922,-0.2617,0.4073,-0.353,-0.94,0.1544,-0.2427,-0.3377,-0.3971,-0.4349,-0.5196,-0.3571,0.203,-0.4668,-0.1107,1.0803,0.9833,-0.6107,1.432,-0.7104,-0.5369,0.9166,-0.4524,0.0233,-0.589,ALL
-0.2561,-0.535,-0.7347,-0.5289,1.8119,2.3938,0.9637,1.759,1.1577,-0.3978,1.1893,-0.5843,0.0985,0.9691,-0.3684,-0.633,1.2315,-0.2797,0.147,1.8595,-1.0884,-0.5094,-0.6374,-0.4713,-0.9419,1.0952,-0.4681,1.5999,-0.407,2.3355,1.9586,1.2946,0.512,-0.3724,1.263,0.3788,-0.2067,2.448,1.2649,-0.4351,0.374,1.3878,0.2339,-0.6947,3.499,-0.3982,1.7396,0.353,1.7063,1.0497,-0.3797,-0.0237,-0.6872,-0.7992,-0.5742,-0.7123,-0.3057,1.1085,0.4152,1.5508,-0.4722,1.0178,1.7797,1.1714,0.8201,-0.3281,-0.7103,1.5852,-0.3787,-0.2957,3.0602,2.1801,-0.1553,2.862,1.5461,-0.5298,-0.1948,-1.0866,-0.1263,-0.6427,0.9005,1.9739,0.3248,0.2271,-0.5204,-0.5669,-0.5939,2.7287,-0.4454,1.9814,1.3776,3.0966,-0.4519,1.3638,0.5226,2.4858,1.7457,1.6436,2.228,1.5818,ALL
-0.3073,-0.5078,-0.4702,-0.5355,0.4857,0.0899,0.2617,1.2501,1.3407,-0.6862,0.6158,-0.8227,-0.6133,0.6969,-0.4142,-0.6528,0.9683,-0.6766,0.8582,1.0109,-0.553,-1.1607,-0.4121,0.0457,-0.5831,1.7762,-0.4751,0.1858,-0.8106,-0.4632,-0.2036,1.2364,1.8953,-1.1266,0.7884,0.0205,-1.1521,1.0852,1.167,-0.4328,-0.6723,1.6547,-1.0392,-0.6952,0.405,-0.5346,0.527,0.2602,0.3967,0.2206,-0.5755,-1.6468,-0.5292,-0.6455,-0.5726,-0.7387,-0.6677,1.5837,0.4728,1.4924,-0.3311,0.1934,1.2509,1.0902,-0.4551,-0.5146,-0.8014,0.5484,0.0636,-0.7037,2.3349,1.1824,-0.5674,1.7024,4.4965,-0.9318,-0.491,-0.685,-0.7323,1.0994,0.3219,0.2853,-0.4848,-1.0823,-0.6236,-0.4722,0.0285,0.2872,-0.4501,0.5769,1.6134,0.2028,-0.5413,0.9054,-0.1943,0.5959,0.4838,0.015,-0.4056,1.4159,ALL
-0.2629,-0.5237,-0.2865,-0.4796,-0.041,-0.297,-0.8754,-0.2841,-0.4452,-0.7124,-0.7871,1.6996,-0.3047,-0.9619,0.4318,3.1619,-0.9407,0.1679,-0.2611,-0.0571,1.3128,0.4681,0.5669,-0.2939,0.5884,-0.0176,-0.554,0.6782,1.237,-0.6571,1.7963,-1.813,-0.9462,0.2846,2.1514,0.1242,-0.0358,0.9341,0.2968,-0.4615,-0.0133,0.8195,-0.1677,-0.6464,0.4239,-0.444,-0.2129,2.5307,-0.456,-0.1395,-0.4141,1.4035,-0.2541,-0.6006,-0.5285,-0.6482,1.3517,1.1321,-0.5524,-0.6769,2.2186,-0.2253,-0.6873,0.0206,0.4763,-0.0423,-1.635,2.7468,-0.9762,-0.4753,-0.5112,2.847,2.7715,0.2918,-0.0137,2.4438,-0.1996,1.5318,-0.306,0.7478,1.5705,0.3709,-0.3786,0.4013,-0.3214,-0.9006,-0.3488,1.216,-0.4647,-0.0438,1.7569,1.6569,0.86,2.7811,0.7096,-0.7356,2.2787,-0.8822,-0.161,-0.6228,ALL
-0.5682,-0.5004,-0.6035,-0.5378,0.1896,-0.7071,0.159,-0.7838,-0.8809,-0.6862,-0.7556,-0.7682,-0.2971,-0.2897,-0.8543,-0.5846,-0.0101,-0.6422,-0.6329,0.4623,-0.5011,-1.2073,-0.7021,-0.4952,-0.5159,-0.7357,-0.5793,-1.0767,-0.3544,-0.0019,-0.6674,0.3644,2.1223,-0.1712,-0.7283,-0.3655,-1.3771,-0.1323,-0.6626,-0.4976,-0.7964,1.1472,-0.3439,-0.4282,0.6116,-0.6913,-0.3321,-0.4449,-0.883,-0.1036,-0.6443,-0.8958,-0.1216,-0.5642,-0.5549,-0.5702,-0.5195,-0.4635,1.0795,0.0886,-0.1241,-0.8779,0.0849,0.754,0.2913,-0.2945,-0.7018,0.7092,0.2642,-0.079,0.918,-0.5773,-0.7061,-0.4016,0.0091,-0.6289,-0.7952,-0.0505,-0.2053,-0.0464,-0.6983,-0.7755,-0.5899,-0.5882,-0.6937,-0.346,-0.4011,-1.0776,-0.4585,0.2652,-0.5187,3.0752,-0.6507,-0.015,0.6534,0.1143,-0.3316,-0.6786,-0.0831,-0.6337,ALL
-0.44,-0.5095,-0.5729,-0.571,0.2341,-0.2452,-0.0541,1.4183,1.6083,-0.5943,-0.7383,-0.7048,-0.922,1.9937,-0.6213,-0.6875,0.6713,-0.7487,0.8715,0.305,-0.2183,-0.9634,-0.691,-0.4481,-0.0228,1.1323,-0.5477,-0.4497,-0.8192,0.0427,-0.3602,0.8401,1.765,-1.0111,0.3553,-0.1788,-0.5974,0.2685,0.744,-0.4624,-0.6315,0.1798,-0.3243,-0.6386,1.1631,-0.6758,-0.156,-0.3468,-0.6211,0.542,-0.6758,-0.4799,-0.8281,-0.7071,-0.5891,-0.7233,-0.7958,0.6128,-0.3589,-0.3577,-0.952,1.5342,0.007,-1.3491,-0.16,-0.555,0.2372,-0.0892,0.4329,0.1157,-0.3804,-0.7509,-0.5225,0.6863,0.5175,-0.7171,-0.6869,-0.6208,-0.2631,2.9893,0.8777,0.2757,-0.8257,-0.7728,-0.5493,-1.2365,-0.2937,0.4631,-0.465,-0.6209,1.2033,-0.5776,-0.4679,0.6998,-0.3137,0.1304,-0.1767,0.2488,0.158,2.2002,ALL
-0.3193,-0.4953,-0.5183,-0.5076,4.1331,1.3149,1.7528,1.9032,2.6395,-1.0229,-0.3627,-0.2694,-0.2014,2.9033,-0.281,-0.5933,3.4121,0.5928,2.1605,4.0139,-0.2969,0.5585,-0.5728,-0.464,-0.5923,1.9279,-0.6996,2.8456,-0.8517,2.8099,3.0948,1.8178,3.0663,0.4914,2.0141,3.9865,-0.5906,1.3764,3.7389,-0.4986,-0.1681,3.879,-1.098,-0.6287,1.9577,-0.1329,2.4067,2.0668,1.6905,4.2296,-0.8181,0.9876,-0.7704,-0.6222,-0.558,-0.6711,-0.7815,1.782,1.7648,2.3454,0.0359,2.7076,1.6391,1.3903,0.9889,-0.3225,0.0295,4.9433,-0.4249,1.1008,-0.2524,3.1138,-0.5967,2.85,0.0665,-0.304,-0.5881,-0.6931,0.0746,3.0461,1.1213,1.1177,-0.4026,1.5872,0.4489,-0.7135,-0.4617,3.3646,-0.406,3.5953,2.6179,0.5343,-0.5106,4.1611,1.0352,1.5085,4.9209,1.8547,3.6316,4.5593,ALL
-0.7515,-0.5217,-0.6079,-0.5618,1.97,-1.0181,-0.018,1.1072,-0.2555,-0.4686,2.658,-0.6484,-0.4143,-0.2654,-0.9153,-0.6392,-0.6909,-0.511,0.0383,1.0914,-1.5821,-0.3194,-0.8683,-0.5349,-1.0947,4.3004,-0.4978,0.5562,-0.9779,-0.4134,2.1789,2.0503,0.0388,-1.2558,3.1256,-0.7047,0.0183,-1.1328,2.7662,-0.436,-0.6,-0.1753,-0.8434,-0.7153,-0.8025,-0.3623,1.9225,-0.3369,0.0032,1.2235,-0.4103,-1.4912,-1.02,-0.7952,-0.5581,-0.7898,-0.7771,-0.4572,-0.1863,0.322,0.1582,0.7002,-0.2685,0.2327,-0.3194,-0.6203,-0.5681,0.5995,-0.2028,-0.8103,0.9264,-0.0145,-0.7325,2.1208,-0.2874,-0.9373,-0.714,-0.7493,-0.2726,0.3169,2.4765,-0.9468,-0.7481,0.1517,-0.4493,-1.0877,-0.335,-1.22,-0.4211,-0.1182,0.3731,0.128,-0.58,-0.1563,-1.5191,-0.7761,0.994,0.098,3.2666,0.6827,ALL
-0.7208,-0.5478,-0.6407,-0.5582,-0.8779,0.0537,0.841,-1.0265,-0.7682,-0.9672,0.8036,-0.7097,-0.6763,0.5882,-0.767,-0.7359,-0.267,-0.8541,-0.5338,-0.902,-0.5881,0.1036,-0.6744,-0.5165,-0.5831,-0.9802,-0.4416,0.2111,-0.8957,0.0309,-0.1341,-0.1641,-0.4079,-0.7556,1.0341,0.8498,-0.2236,-0.4649,-0.2255,-0.4745,-0.7269,0.0046,-0.5887,-0.6279,-1.0393,-0.5248,0.8939,-0.4529,-0.5007,0.1558,-0.6557,-1.5136,-0.5717,-0.6404,-0.5422,-0.7683,-0.7716,0.4161,-0.8192,-0.9171,-1.0743,1.4748,1.4833,-0.3856,4.6794,-0.4145,-0.5368,-0.9632,1.6301,0.0253,0.7081,-0.305,-0.8799,-0.6168,-0.6288,-0.6785,-0.2314,-0.2192,-0.3733,0.0371,-0.8962,-0.4235,-0.7803,-0.0369,-0.8308,-0.6887,-0.2276,-1.0838,-0.4287,-0.655,-0.775,-1.3367,-0.5386,-0.8896,-1.628,-0.9692,-0.7006,-0.3016,-0.6183,-0.0312,ALL
