35590_s_at,725_i_at,41117_s_at,37905_r_at,37226_at,34457_at,33069_f_at,33021_at,39332_at,33870_at,38447_at,39586_at,36223_at,36783_f_at,36338_at,32545_r_at,37231_at,38414_at,33322_i_at,32815_at,32407_f_at,38687_at,37317_at,36605_at,36611_at,34757_at,731_f_at,36630_at,35152_at,31510_s_at,36683_at,32557_at,36514_at,36303_f_at,38229_at,40590_at,36567_at,886_at,1464_at,37250_at,37898_r_at,34089_at,38638_at,33233_at,40921_at,32362_r_at,1176_at,33275_at,34093_at,39684_at,37946_at,34600_s_at,35911_r_at,32007_at,1415_at,35001_at,34108_g_at,41506_at,38982_at,41387_r_at,36001_at,31715_at,38426_at,40672_at,33768_at,40453_s_at,37095_r_at,40008_at,39500_s_at,36696_at,34148_at,31812_at,41003_at,38991_at,40036_at,40089_at,32274_r_at,2041_i_at,39335_at,33080_s_at,31317_r_at,37969_at,34467_g_at,35019_at,715_s_at,33778_at,41619_at,36765_at,40770_f_at,40322_at,36737_at,38630_at,1408_at,826_at,34573_at,35896_at,34736_at,31810_g_at,33986_r_at,34966_at,class
-0.84406,-0.61315,-0.74851,-0.95607,-0.77165,-0.78136,-0.80683,-0.68362,-0.70775,-0.86951,-0.94341,-0.59925,-0.87826,-1.04063,-0.83047,-0.64447,-0.60022,-0.79061,-1.01144,-0.66372,-0.71278,-0.91314,-0.74953,-0.88335,-1.05901,-0.91622,-0.68133,-0.86111,-0.96257,-1.00626,-0.78086,-0.86786,-0.6476,-1.02361,-0.96658,-0.50929,-0.6894,-0.87344,-0.81096,-0.86849,-0.83609,-0.88801,-0.75115,-0.51037,-0.58277,-0.82508,-0.66368,-0.9249,-0.77973,-0.91576,-0.74773,-0.77842,-0.85857,-0.73855,-1.01343,-0.78629,-0.75821,-0.78991,-0.92109,-0.79576,-0.7925,-0.66927,-1.02405,-0.80715,-0.90077,-0.99912,-0.61401,-0.7603,-0.81802,-0.85053,-0.69268,-0.72818,-0.90735,-0.91104,-0.83264,-0.97347,-0.95132,-0.55974,-0.80367,-0.68876,-0.66374,-0.48454,-0.85166,-1.04161,-0.66299,-0.83047,-0.79078,-0.80292,-0.83446,-0.72752,-0.88681,-0.75327,-0.60652,-0.84761,-0.96835,-0.71289,-0.64345,-0.80589,-0.64333,-0.68454,after Th
-0.92057,-0.60738,-0.77499,-0.95064,-0.61811,-0.76817,-0.7084,-0.67863,-0.74751,-0.85427,-0.9141,-0.65293,-0.88081,-0.96349,-0.97113,-0.78561,-0.85304,-0.89441,-1.00874,-0.57458,-0.69243,-0.86663,-0.81526,-0.45001,-0.89942,-0.77877,-0.63786,-0.85624,-0.84577,-0.82808,-0.79671,-0.87259,-0.83219,-0.94199,-0.84712,-0.50712,-0.71491,-0.90787,-0.98864,-0.87751,-0.83609,-0.899,-0.66532,-0.85147,-0.72161,-0.80038,-0.64098,-0.86395,-0.94899,-0.79544,-0.78083,-0.79887,-0.85649,-0.67593,-1.01096,-0.51254,-0.86757,-0.85266,-0.93752,-0.75577,-0.79978,-0.67702,-0.77542,-0.97076,-1.00464,-0.89338,-0.76117,-0.73629,-0.79231,-1.0176,-0.8064,-0.83123,-0.8917,-0.8468,-0.76101,-0.67639,-0.90662,-0.51637,-0.74709,-0.77752,-0.84243,-0.70514,-0.84187,-0.85092,-0.91161,-0.82879,-0.83946,-0.74601,-0.92625,-0.6503,-0.81572,-0.66559,-0.51077,-0.86683,-1.0061,-0.72719,-0.87665,-0.65991,-0.81114,-0.72729,after Th
-0.06341,-0.37401,-0.22587,-0.06517,0.2143,-0.13882,-0.15801,-0.53832,-0.29971,0.44066,0.27686,-0.55364,-0.23702,0.40517,-0.47078,-0.14383,0.61356,-0.06863,0.3893,-0.1283,-0.56996,0.18681,0.54675,-0.90882,1.00023,0.16035,-0.49761,0.47577,0.82874,0.49071,-0.05269,0.67678,1.71406,0.56288,0.17981,-0.10395,-0.71834,0.70239,-0.03894,1.07423,0.19871,0.50027,-0.86337,0.11111,-0.11698,0.49893,0.09972,1.39053,0.2418,-0.77048,0.00313,-0.34566,0.05591,0.07873,-0.13402,-0.55318,0.02201,0.70809,0.95371,0.60443,-0.03714,-0.49156,0.3478,-0.31333,0.72046,0.33441,-0.3391,-0.66586,0.15898,0.47766,-0.66963,0.73336,0.45817,0.1991,0.22078,-0.01592,-0.00146,-0.20706,-0.21998,0.64322,0.62189,-0.56678,0.17271,0.49276,0.69984,-0.09529,-0.39682,0.13174,-0.20554,-0.24324,-0.09083,1.13353,-0.44906,-0.36241,-0.05201,0.36612,0.41207,-0.20238,-0.41932,-0.06359,after Th
-0.85963,-0.58407,-0.84259,-0.85587,-0.6814,-0.88898,-0.72698,-0.46787,-0.77335,-0.88406,-0.89361,-0.59477,-0.99657,-0.95129,-0.8452,-0.92597,-0.93193,-0.8194,-1.05808,-0.60549,-0.60373,-0.83858,-0.73537,-0.75588,-0.97434,-0.86665,-0.70933,-0.66474,-0.92457,-0.9193,-0.67839,-0.91222,-0.53553,-1.00373,-0.93558,-0.45537,-0.65197,-0.8858,-0.6361,-0.95168,-0.87096,-0.93575,-0.6882,-0.76648,-0.546,-0.86436,-0.61511,-0.9374,-0.85067,-0.59259,-0.74729,-0.9084,-0.89725,-0.6784,-0.87971,-0.78124,-0.87184,-0.84185,-0.96888,-0.89532,-0.71323,-0.5882,-0.91936,-0.76829,-0.87215,-0.92929,-0.75192,-0.55561,-0.76894,-0.89879,-0.7523,-0.79693,-0.7624,-0.96531,-1.01556,-0.84062,-0.96722,-0.57175,-0.58728,-0.7217,-0.79304,-0.66373,-0.84593,-0.81102,-1.04692,-0.69992,-0.67996,-0.70971,-0.85297,-0.59245,-0.81956,-0.64216,-0.58982,-0.73245,-0.94022,-0.73224,-0.83346,-0.75405,-0.59335,-0.61757,after Th
-0.88065,-0.62787,-0.78635,-0.93507,-0.79143,-0.81536,-0.65613,-0.68199,-0.70989,-0.80002,-0.87488,-0.64303,-0.93848,-0.91345,-0.87883,-0.86771,-0.7773,-0.93428,-0.90637,-0.57504,-0.61147,-0.91853,-0.82561,-0.66435,-0.93793,-0.76327,-0.72006,-0.95363,-0.95894,-0.99025,-0.82772,-0.86151,-0.79913,-0.96523,-0.86301,-0.50533,-0.69946,-0.85623,-0.89363,-0.9512,-0.90821,-0.89983,-0.71734,-0.73791,-0.68418,-0.76273,-0.62283,-0.83809,-0.86616,-0.93029,-0.53695,-0.68664,-0.97607,-0.74315,-0.57632,-0.88407,-0.77696,-0.81832,-0.81717,-0.76493,-0.65321,-0.67875,-0.73444,-0.87824,-0.81771,-0.77499,-0.82631,-0.77158,-0.82437,-0.77676,-0.64491,-0.73351,-0.8975,-0.97591,-0.85863,-0.86947,-0.93681,-0.63279,-0.75117,-0.84314,-0.92589,-0.5699,-0.69461,-0.78253,-0.92103,-0.94044,-0.76627,-0.81048,-0.82254,-0.65408,-0.79034,-0.73278,-0.57732,-0.87627,-0.8325,-0.57629,-0.88918,-0.68676,-0.66741,-0.50754,after Th
0.20925,-0.20289,0.09722,0.09848,-0.82654,0.83657,-0.13854,-0.53961,0.2624,0.44946,-0.02366,0.23229,-0.57893,-0.17029,0.89867,0.51368,0.88688,-0.14093,0.66933,-0.39679,0.83099,0.68187,1.35937,0.14685,0.30749,0.1924,-0.39584,-0.14755,0.32742,0.50426,0.53549,0.52815,0.45182,-0.31416,0.30434,-0.284,0.93041,0.42533,-0.01067,0.9434,0.50734,0.66813,0.37594,0.22079,0.36261,0.14559,-0.30473,0.41735,0.58835,0.66232,0.41544,-0.59524,0.09402,0.68987,0.73193,-0.12053,-0.03282,-0.81755,0.47129,0.78774,0.11914,0.00461,0.13762,0.23406,0.03673,0.46988,0.29994,0.47577,0.43689,0.56711,0.93586,0.20307,1.05658,0.42511,0.85247,0.74068,-0.09752,-0.41061,0.92125,0.05479,-0.07016,-0.46596,1.00925,0.45122,-0.17921,0.85104,0.48249,0.61003,1.80706,0.33716,0.41219,-0.04942,-0.31047,1.31489,0.79711,-0.41502,0.83172,0.51434,1.00889,-0.39116,after Th
-0.85669,-0.63749,-0.01057,-0.93461,-0.80119,-0.8858,-0.73049,-0.64629,-0.80252,-0.86081,-0.96118,-0.65685,-0.96632,-1.06848,-0.93759,-0.69424,-0.85127,-0.81569,-0.93586,-0.6606,-0.69872,-0.92169,-0.78039,-0.75099,-1.08517,-0.9315,-0.64732,-0.79985,-1.02448,-0.94048,-0.80907,-0.85311,-0.65205,-1.00451,-1.03444,-0.50107,-0.78299,-0.78626,-0.88857,-0.94182,-1.04414,-0.94405,-0.57132,-0.63558,-0.56763,-0.90063,-0.70238,-0.83938,-0.95376,-0.74314,-0.7456,-0.70662,-0.9304,-0.80126,-0.93358,-0.97297,-0.89044,-0.7944,-1.06524,-1.01846,-0.83777,-0.67111,-0.87089,-0.89667,-0.9987,-1.0469,-0.82012,-0.63848,-0.79752,-0.9078,-0.75313,-0.97632,-0.89811,-0.95164,-1.03774,-0.90398,-0.92046,-0.64379,-0.76163,-0.98289,-0.78435,-0.70811,-0.89856,-1.03226,-0.94302,-0.96877,-0.87482,-0.6854,-0.92121,-0.67687,-0.92383,-0.79588,-0.58701,-0.79362,-1.05523,-0.61425,-0.81003,-0.83296,-0.76372,-0.7129,after Th
-0.96017,-0.58513,-0.77465,-0.8137,-0.53796,-0.69255,-0.74415,-0.67812,-0.70152,-0.95025,-0.94814,-0.65325,-0.69538,-0.92508,-0.7351,-0.86794,-0.97907,-0.76694,-1.07429,-0.62042,-0.74544,-0.84936,-0.58975,-0.99614,-0.91317,-0.57424,-0.44308,-0.82736,-0.87941,-0.91908,-0.7204,-0.93601,-0.969,-0.59329,-0.98009,-0.4996,-0.83106,-1.00292,-0.78503,-1.04474,-0.92107,-0.80795,-0.43083,-0.61145,-0.6863,-0.77557,-0.80326,-0.89464,-0.90875,-0.72173,-0.63118,-0.56765,-0.69459,-0.72995,-0.94285,-0.75146,-0.78244,-0.82061,-0.9073,-0.43891,-0.75914,-0.71955,-0.83065,-0.83992,-0.85803,-1.07262,-0.84702,-0.5865,-0.71369,-0.81768,-0.63598,-0.99656,-0.85634,-0.99809,-1.0371,-0.66483,-0.78184,-0.6346,-0.67639,-0.86675,-0.66007,-0.77652,-0.74384,-0.90126,-0.98921,-0.8736,-0.8087,-0.6929,-1.01471,-0.70012,-0.75308,-0.78954,-0.57159,-0.75301,-0.91455,-0.6379,-0.77591,-0.75664,-0.64764,-0.7585,after Th
-0.92403,-0.61868,-0.72741,-1.02137,-0.78929,-0.86208,-0.74319,-0.6093,-0.82428,-0.83343,-1.02792,-0.55118,-0.9258,-0.93979,-0.99649,-0.85914,-0.70333,-0.80692,-1.01446,-0.6557,-0.68393,-0.8754,-0.8198,-0.69834,-0.98945,-0.75956,-0.72933,-0.86108,-0.87723,-0.99646,-0.78912,-0.93548,-0.74873,-0.93481,-0.98051,-0.50169,-0.5104,-0.93266,-0.84935,-0.94152,-1.01959,-0.91901,-0.68528,-0.70616,-0.61622,-0.86184,-0.63905,-0.95102,-0.86466,-0.92383,-0.75272,-0.88465,-0.85462,-0.72913,-0.93086,-0.91235,-0.88122,-0.86729,-0.96957,-0.71518,-0.77073,-0.78215,-0.9596,-0.97103,-0.99115,-1.02376,-0.85723,-0.7786,-0.92531,-0.92942,-0.71927,-0.8742,-0.93144,-0.97064,-0.8196,-0.8993,-0.93776,-0.61775,-0.80183,-0.86087,-0.81584,-0.66373,-0.84137,-0.91583,-0.95815,-0.92837,-0.84722,-0.78812,-0.90374,-0.77466,-0.85886,-0.77152,-0.41566,-0.91522,-1.02056,-0.68905,-0.84561,-0.83895,-0.66924,-0.74517,after Th
0.50439,-0.43739,-0.10582,0.42254,-0.42373,0.18813,-0.27111,-0.35397,-0.42716,0.36955,0.31652,-0.48885,-0.27864,0.36208,0.15419,0.2281,0.14069,-0.17748,0.85432,-0.29937,-0.04323,0.58422,0.41952,-0.03054,0.31657,-0.55068,0.34759,0.08633,-0.00816,0.59554,-0.72784,0.05329,0.26074,-0.32837,0.02639,-0.44491,0.42339,0.55665,1.08817,0.20904,0.10772,0.74656,1.07064,-0.20989,-0.67422,-0.48483,-0.2901,0.88273,0.15051,1.58856,0.41143,1.17378,0.65322,-0.15372,1.21555,0.25051,-0.03867,-0.77364,0.30976,0.42014,-0.48057,-0.16749,0.32758,-0.05974,0.26115,0.43973,0.23234,-0.61549,-0.04171,0.17432,0.4385,0.36116,0.49009,-0.24673,0.76542,0.07702,-0.4815,-0.11634,-0.68807,0.5041,0.1768,-0.35614,-0.80883,0.10778,0.44242,0.4476,0.37106,-0.58643,0.0235,0.3379,0.45422,-0.05506,-0.48782,0.28499,0.66664,-0.67801,0.8349,0.18815,0.05974,0.03216,after Th
0.7308,-0.59832,-0.57776,0.0468,0.73991,0.32904,0.4709,-0.38675,0.05579,0.04452,0.81734,0.24774,0.59177,0.41008,0.9162,-0.31984,0.34079,0.44203,0.70292,0.21486,-0.28916,0.13687,0.61946,-0.80853,0.83062,1.1347,-0.35915,0.95511,1.1573,0.93952,0.21927,0.10747,-0.23704,0.11539,0.4545,-0.40919,-0.07514,0.09626,1.79242,-0.09949,0.78203,0.69551,0.05504,1.26948,-0.63719,0.76334,0.13047,0.53839,0.82499,0.14727,0.11684,0.42279,0.7254,-0.02136,0.62772,1.92986,0.35766,-0.43731,0.73374,0.09416,0.554,0.53279,0.66379,0.45487,1.172,0.11399,0.92955,0.26625,0.92869,0.92871,0.51265,0.45298,-0.30901,0.81812,1.02585,0.92893,0.79334,0.8192,0.25246,0.60188,1.17271,-0.46321,0.883,0.67878,1.26412,0.91798,0.32272,0.39518,0.35574,0.69421,0.69734,-0.51205,-0.05713,1.05198,0.90523,0.59098,-0.06908,0.15517,0.34088,0.16674,after Th
-0.93843,-0.65138,-0.76043,-0.90902,-0.75298,-0.87326,-0.76291,-0.54245,-0.78618,-0.81887,-0.93976,-0.64133,-0.86041,-0.97438,-0.97063,-0.7897,-0.63697,-0.57405,-1.03458,-0.66728,-0.74364,-0.85601,-0.83174,-0.97488,-0.84911,-0.7534,-0.73675,-0.90983,-1.01494,-0.95182,-0.75695,-1.02441,-0.87802,-0.76115,-1.05701,-0.49271,-0.81716,-0.78553,-0.96281,-0.95241,-0.967,-0.99444,-0.73308,-0.54739,-0.65139,-0.90639,-0.7278,-0.91732,-0.94572,-0.98786,-0.78003,-0.85636,-0.92563,-0.79537,-0.99455,-1.03699,-0.84379,-0.71759,-0.97875,-0.95179,-0.75045,-0.65492,-0.92413,-0.87243,-0.94544,-0.96909,-0.89607,-0.50129,-0.88648,-0.89929,-0.77722,-0.92227,-1.01383,-0.99166,-0.85641,-0.79571,-0.92856,-0.64705,-0.91315,-0.92325,-0.69903,-0.76514,-0.91682,-0.72263,-0.96801,-0.98925,-0.83156,-0.83449,-0.92366,-0.77558,-0.79383,-0.91959,-0.51026,-0.81218,-1.01241,-0.66717,-0.61858,-0.79354,-0.70833,-0.73226,after Th
